Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
925,0,22.64 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",parents need to be better informed of the options out there
1441,0,24.67 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","I agree. they probably go to seminars with other doctors worldwide and get their updated information through there. And if they don't, they should make up seminars for these doctors to go to."
281,0,23.64 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","do away with obamacare and start from scratch by looking at reality now, not seeing how to improve what we already have."
1622,0,22.86 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","one word ""cuba"""
926,0,27.49 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","It should start in the schools, the children need to be better informed so when they are adults they can make better decisions"
1553,0,24.59 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",There are plenty of non affluent neighborhoods with hospitals right up the street that have long emergency response times.  I have lost a friend because of it.
1814,0,21.86 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",I don't feel it's fair to those who are elderly and/or impaired can't afford a knee replacement or other related injuries to have to suffer. I think there should be some way that they are able to get the assistance they need.
930,0,28.57 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","more money needs to be spent on preventing Cancers, Alzheimer's, and things like, in the end if we can prevent some of these damaging things it will cost less and save a lot of lives"
932,0,22.74 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","cosmetic surgery should cost more than an emergency surgery- the people that do cosmetic surgery do it willingly and should have the money saved up for it, but the people who get in accidents should be charged less because they did not chose to have that happen to them"
1555,0,22.05 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","Healthcare should do a better job at foreign health screenings, there are diseases and parasites that used to be extinct in this country that have come back with full force.  For example, tuberculosis was essentially wiped out but has some how become a threat in the U.S. again."
935,0,24.62 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","pharmaceutical companies should not be able to entice a doctor into using their product by promising them things, the doctors should use the drug because it works and is safe, and has gone threw all the procedures by the FDA with blind testing and things"
943,0,24.19 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live","research for cures should be consolidated and not spread out over various companies, the health and lives of the people are more important than the possible monies the companies are competing for."
268,0,23.23 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",Laws should be made to secure anything that will prevent anyone from not getting the healthcare they need.
267,0,23.44 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",Pharmaceuticals should be aware of all the medications being prescribed at their pharmacy so that they do not harm anyone with the new products.  In other words new products should be tested so that people do not get sick from them and then need medical attention because of it.
693,0,20.58 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",Increase funding for more health research.
265,0,24.14 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",Hospitals should look for cheaper methods they could use that are as efficient as the expensive methods to cure their patients
1561,0,24.59 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",you never know what can happen and every person who is on this earth deserves help. Also every kind of this people can develop the medicine by trying new things when the patient agrees
956,0,23.25 %,"make, time, healthy, thing, agree, food, child, lot, cheap, live",it's important that we educate people all over the spectrum so that they are aware and can make more beneficial choices/decisions when it concerns health care. also it would help them be able to figure out what the best plan is for them so that they won't have to over or under pay.
