Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
1244,0,20.61 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",cancer treatment should definitely not be withheld and given only to those who can afford the extremely rediculous amount of money it costs to be treated.
612,0,18.11 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Make some generics more affordable. I've had to pay $200 for a generic medication once
1608,0,16.72 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Doctors and anyone working in the medical feild should have strict supervision on how well they have bed manors.
614,0,17.49 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",There should be a sharing type system that allows your new doctor to view your medical records from your old doctor
279,0,21.13 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce","I believe sick people should be treated at a doctors office so they could take up less room in the emergency room so the people with broken bones, severe chest pains, and serious stuff besides a cold or flu or whatever can be treated quicker."
1036,0,16.93 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Equal treatment of all patients should be a priority.
625,0,15.75 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce","That is not always possible with single parents, special needs families, other personal conflicts, and also just lack of properly trained personnel to hire to fill the positions."
1603,0,21.42 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce","Although, you do have a point to a certain extent, general doctors are specialized as well. Those doctors are usually the first case of defense in 90% of the cases. They should not be paid more because they are general, they are already paid well compared to a specialized doctor as well."
627,0,22.74 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",When a patient makes an appointment and then must wait for an hour or more for service that then should reduce their cost for medical expenses. They have other things going on besides sitting in a doctor's office all day. Its wasting their opportunity to earn money while the doctor is taking money.
1813,0,17.49 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce","I honestly think that medications should be universally cheaper, especially for those who are on a fixed income. Even if it's the generic kind."
629,0,23.0 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",There needs to be more education on testing and cost of testing sexually transmitted infections and diseases.Or even where it can be done if a person doesn't have insurance for testing.
1820,0,22.77 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce","Neglecting health care to anybody is immoral and also illegal according to human rights and,The UN. Doctors can't have prejudices, when treating a patient,no matter who they are. If a doctor denies you treatment, it is also against their code of ethics as well as the law."
644,0,15.57 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",lower the cost of birth control
1824,0,17.25 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Nicer nurses and doctors
262,0,22.47 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",As well as the long-term effects of medication. Such as the psychological effects of prolonged use of ADHD medications.
261,0,22.09 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Doctors should ask about mental health at their patients regular check ups and refer them to therapy or other treatments when necessary
1825,0,16.73 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Faster/better service in doctor offices
258,0,23.71 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce","Require doctors or nurses to explain the specifics (side effects, etc.) of pharmaceuticals, as well as alternative medications to patients before prescribing them."
647,0,18.78 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",doctors should spend more time with their patients
641,0,19.54 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Not only should nurses and doctors have to pass all of their nursing exams I think they should have to pass a personality test to see what types of patients they should be allowed to work with
254,0,15.29 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",Make the interior of hospitals less depressing.
608,0,17.04 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",They also shouldn't assign 10 patients to one nurse
605,0,21.92 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce","This is true, i have probably received 3 of the same shoots because the new hospitals I visited did not have my records. Patients are supposed to keep their own record, but these can be easily lost or misplaced."
587,0,17.43 %,"doctor, patient, cost, drug, medicine, person, medication, nurse, technology, reduce",There should be more doctors and nurses on duty so the ER functions quicker
