Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
1282,0,"People should be more educated about what kind of doctors/specialist they need to see because for example, someone's doctor (general practitioner) kept prescribing her different BRANDS of an SSRI antidepressant, none of which worked, while what she actually needed was to see a psychiatrist who was able to prescribe her a different TYPE of antidepressants like an MAO inhibitor.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1422,0,Sometimes people always think a pill will fix everything. It has been engraved in our heads that if we take this certain pill everything will be okay. It seems like in the later part of this century that all these conditions have been popping up...it just seems like no one in the previous centuries had the problems we did.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1056,0,"If doctors, nurses, and all medical staff should be required to take a day or more break if they are noticeably experiencing burn-out. While a person is ""burnt out"" they are overwhelmed to the point where it affects their work performance and life. If burn out can be prevented it should.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1059,0,"True, but then nurses would have to get paid more for their jobs and maybe there would be no point of having doctors anymore.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1405,0,Agreed. We can often at times be lazy especially when we have resources out there. Some of us takes the easy way out. instead of the long and difficult way.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
475,0,Assign long-term schedule for when to visit with a doctor yearly/monthly depending on level of needs,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1069,0,A good way to improve the healthcare system is   to let specialized computers help doctors diagnose patients. This will save the time and money for the patient as well as receiving better treatment.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1070,0,Educating the public about most common diseases and explain how they can lower their risk may help reduced the amount of people that will need to be treated for certain diseases.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
472,0,Provide more ER's in low income regions for better convenience,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1714,0,"I see that there are similarities throughout this entire thread of ideas. After reading everyone's ideas it's obvious that what we need is education on health/healthcare system, even distribution of money in FAIR ways to both the people receiving care and the hospitals/staff running these procedures, and to somehow get the rich to be more considerate of the poor. In the end it's hard to say that these are at all possible to achieve (with there being so many people in the world). Maybe education on the subject could spark the fire.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1071,0,"It is known that soda is the highest contributor to the rise of obesity. We can cut down the consumption of soda in the same way we reduced smoking, by taxing it.  If we are able to reduce the obesity rate we can also lower the risk of heart disease and diabetes. If we can reduced that the amount of people needing to be treated will be lowered as well.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1716,0,"In all honesty, being healthy has to be ""so easy a caveman can do it"" before Americans are motivated to exert much effort.  Unfortunately, we just live in a day and age that if it doesn't come fast and easy, most Americans don't want to do it.  The mentality of our people needs to be reformed.  We need to get back to the days where everyone put in an effort to make this nation better.  Now people just want to sit back and tell the government to fix everything.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1720,0,"What about modeling the ER like the DMV. You go to a computer, choose why you are there ""Flu like"" ""broken bone"" ""back issue"" ""who the heck knows"" Let certain nurses deal with said cases, to help stream line the process. Steam line is bad you say... not when over 80% of the people in the ER do not need to be in the ER its a good filter.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
496,0,"all doctors should accept the same insurance across the board, not having the option for certain doctors.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1723,0,"Once a month home visits ... heck the Govnt is losing millions in the post office so why not have a traveling doc for 100 bucks per visit you can be seen if you do not have health care? Shoot let the Doc ride with mail man, knock out 2 in one.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1397,0,Doctors are important. Nurses are important. All medical staff members should be treated equally even if they have more experience.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1728,0,"Equip hospitals the way they should be regardless of their size. Example : My father just went for broke ribs/puncture lung   no insurance.... Ambulance ride there, they could not see him, so then took him to 2nd place, no room, third place they put him in ICU. He had 3 rides... 3 rides he will be billed for even tho it was not his choice. Every place needs to be ready for anything. Good job Greenbay","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
449,0,lean towards more natural sources of medicine,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1081,0,"i think that for doctors and nurses with more than just a BSN that after you have graduated with a bachelor, the college taken following should be paid for by the state. too many smart people do not become doctors or nurse practitioners because the cost of such an education is drowning.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1734,0,This could be a good idea. A traveling doctor or team of specialists could go around making house-calls providing insight and expertise or even write prescriptions and treatment to those that are sick but do not need to go to a hospital and would clear up space for those that do.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1390,0,and also our immune system gets weaker as we grow older,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1389,0,every kid loves going outside instead of staying in a classroom all day sitting around and working on work that they know they will not put full effort into it,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1091,0,"educate better, dont make college so expensive so more people can go and get such a good education and pursue things like doctors, nurses, surgeons.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1740,0,the cost of visiting a doctor should be reduced. Office visit fees should either be taken off or reduced.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1741,0,"after seeing a doctor for your medical issues, there should be a onling 24-7 chat with either a doctor or a nurse. Or at least some sort of email so that the doctor can respond right away.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
419,0,"if someone has a severe mental health problem, allow them immediate and cheap attention from psychologists or whatever kind of expert could help with their condition","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1743,0,Doctors should follow up not with only visits but also phone calls as some cannot afford a follow up visit.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
452,0,create more medicines with small amounts of side-effects in order to reduce the struggle and waiting time until you are physically and emotionally well,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1425,0,being able to schedule doctor appointments online would cut down on time in the waiting room,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1050,0,"I agree, my grandmother used to stay in an elderly home and she hated it there because the people's attitudes suck, they act like they hate their job. If there were better regulation of these facilities it could cut down on abuse and neglect.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1427,0,i feel that mental health should be tested when getting and renewing your drivers license or any kind of state issued ID,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1437,0,this seems like a great idea but the app may tend to have glitches and can have technical problems. And also people come and go so not everybody will know that this app exsist and not everyone has a smart phone and has access to this app. the doctors time he spends with his patients varys so he may not always be on time for the next patient thats why there are so many people waiting in the waiting room. everyone has their own clinical problems but if the doctor can at least spend with each patient for 30 minutes it will help with the waiting time for the other patients.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1024,0,"Agreed, we should work towards preventing illness so that we don't have to deal with the expenses of curing illness.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1436,0,"True enough especially knowing a lot of people like to drive under the influence of either drugs or alcohol. A mental health screening wouldn't be such a bad idea not only categorizing drugs or alcohol but you never know by getting that mental health screen there can be something so minor or major you wasn't aware of and you can go to the doctor or hospital to get that special need taking care of for instance pregnancy, skin disease, chicken pox, or even diabetics that didn't know you had and is diagnosed with diabetes.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
549,0,I think long-term care such as nursing homes for the elderly is a good thing is most cases. As long as the health care providers take caution and know how to care for them. Being in a social environment is a good thing for those people in them.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1435,0,"Since technology is basically taking over globally as well as nationally that wouldn't be such a bad idea to do. That definitely saves time for as calling on your lunch break to schedule an appointment by phone or email, I believe the different hospitals and doctor's offices should really look into the app for smart phones.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
544,0,"Their has been many cases where elderly have been miss treated our abused by their care keepers or even relatives. The people taking care of the elderly should be completely trained. Not only that, but the elderly should have an easy way of reporting these kinds of abuses.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1032,0,"I agree the doctors should not get bonuses for taking specific insurances, they should take the insurance so they can help more people.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
536,0,"Discover new ways to implement health care by observing other successful systems in other countries (i.e. London, Canada, etc.)","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
533,0,"Much like alcohol, prohibit it during certain times of the week/day.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1673,0,"People get sick, no matter their income. We should develop a better system that helps the sick but doesn't allow a free ride either.  There's a happy medium somewhere.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1035,0,"The trauma centers should be better educated to help the injured that come in. they need to make sure that the doctors they are staffing are qualified. we recently dealt with a doctor who was not very educated in his field, that is unacceptable.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1037,0,"I feel that the focus should be more on youth, like newborns to toddlers, because they are just as prone to illness and disease as the elderly.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1676,0,"Children, elderly, and the mentally ill should be top priority in our healthcare system.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
526,0,pharmaceutical companies are too powerful anyway,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1039,0,"All ER rooms should have the same equipment in them, and doctors need to be trained on how to properly check someone out after they have been in a wreck. the doctors in Eastland Texas missed 6 broken vertebrae, 2 broken ribs, and a shoulder injury because the doctors there either didn't have the right equipment or they are not qualified ER doctors.","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
522,0,make calls to members and sometimes this will persuade them to come back to the gym by playing off of their insecurities,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
519,0,"require brain scans and other mental health indicators after a certain age, just like colon checks and women's health checks","doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
1431,0,A paid internship wouldn't be bad either not only are you gaining experience and interacting with patients but you are getting paid to do something that is of interest to you and that you have a passion for.,"doctor, patient, system, good, people, nurse, reduce, disease, visit, work"
